id_deputado,nome,salario_mandato
74075,Elcione Barbalho,1809065.5699999998
204364,Eli Borges,1809065.5699999998
229585,Elisangela Araujo,1809065.5699999998
178854,Elmar Nascimento,1809065.5699999998
218086,Ely Santos,1809065.5699999998
198783,Emanuel Pinheiro Neto,1809065.5699999998
161550,Emidinho Madeira,1809065.5699999998
225730,Enfermeira Ana Paula,1809065.5699999998
230765,Enfermeira Rejane,1809065.5699999998
220663,Eriberto Medeiros,1809065.5699999998
220645,Erika Hilton,1809065.5699999998
160575,Erika Kokay,1809065.5699999998
160640,Eros Biondini,1809065.5699999998
204482,Euclydes Pettersen,1809065.5699999998
74454,Eunício Oliveira,1809065.5699999998
178871,Evair Vieira de Melo,1809065.5699999998
234388,Fabiano Cazeca,1809065.5699999998
220681,Fábio Macedo,1809065.5699999998
171623,Fabio Reis,1809065.5699999998
204368,Fabio Schiochet,1809065.5699999998
220653,Fábio Teruel,1809065.5699999998
74065,Fatima Pelaes,1809065.5699999998
220712,Fausto Jr.,1809065.5699999998
66828,Fausto Pinato,1809065.5699999998
220646,Felipe Becari,1809065.5699999998
72442,Felipe Carreras,1809065.5699999998
204398,Felipe Francischini,1809065.5699999998
160666,Félix Mendonça Júnior,1809065.5699999998
204407,Fernanda Melchionna,1809065.5699999998
141431,Fernando Coelho Filho,1809065.5699999998
204445,Fernando Mineiro,1809065.5699999998
92699,Fernando Monteiro,1809065.5699999998
204427,Fernando Rodolfo,1809065.5699999998
204411,Filipe Barros,1809065.5699999998
220545,Filipe Martins,1809065.5699999998
160598,Flávia Morais,1809065.5699999998
191923,Flávio Nogueira,1809065.5699999998
220700,Florentino Neto,1809065.5699999998
220551,Franciane Bayer,1809065.5699999998
204494,Fred Costa,1809065.5699999998
220534,Fred Linhares,1809065.5699999998
224117,Gabriel Mota,1809065.5699999998
220708,Gabriel Nunes,1809065.5699999998
204473,General Girão,1809065.5699999998
220611,General Pazuello,1809065.5699999998
178966,Geovania de Sá,1809065.5699999998
220702,Geraldo Mendes,1809065.5699999998
74374,Geraldo Resende,1809065.5699999998
204394,Gervásio Maia,1809065.5699999998
74383,Giacobo,1809065.5699999998
204491,Gilberto Abramo,1809065.5699999998
74270,Gilberto Nascimento,1809065.5699999998
220529,Gilson Daniel,1809065.5699999998
204365,Gilson Marques,1809065.5699999998
220526,Gilvan da Federal,1809065.5699999998
160673,Giovani Cherini,1809065.5699999998
226179,Gisela Simona,1809065.5699999998
204419,Glaustin da Fokus,1809065.5699999998
129618,Gorete Pereira,1809065.5699999998
198197,Greyce Elias,1809065.5699999998
204531,Guilherme Derrite,1809065.5699999998
220664,Guilherme Uchoa,1809065.5699999998
220568,Gustavo Gayer,1809065.5699999998
204408,Gustinho Ribeiro,1809065.5699999998
204456,Gutemberg Reis,1809065.5699999998
178964,Heitor Schuch,1809065.5699999998
178873,Helder Salomão,1809065.5699999998
220537,Helena Lima,1809065.5699999998
204444,Helio Lopes,1809065.5699999998
234788,Heloísa Helena,1809065.5699999998
220672,Henderson Pinto,1809065.5699999998
204539,Hercílio Coelho Diniz,1809065.5699999998
178884,Hildo Rocha,1809065.5699999998
141450,Hugo Leal,1809065.5699999998
160674,Hugo Motta,1809065.5699999998
220563,Icaro de Valmir,1809065.5699999998
204508,Igor Timo,1809065.5699999998
98615,Ismael,1809065.5699999998
204436,Isnaldo Bulhões Jr.,1809065.5699999998
73531,Ivan Valente,1809065.5699999998
220696,Ivoneide Caetano,1809065.5699999998
220670,Iza Arruda,1809065.5699999998
220527,Jack Rocha,1809065.5699999998
220697,Jadyel Alencar,1809065.5699999998
74848,Jandira Feghali,1809065.5699999998
220567,Jeferson Rodrigues,1809065.5699999998
74273,Jefferson Campos,1809065.5699999998
141456,Jilmar Tatto,1809065.5699999998
141458,João Carlos Bacelar,1809065.5699999998
230957,João Cury,1809065.5699999998
178970,João Daniel,1809065.5699999998
74550,João Leão,1809065.5699999998
141459,João Maia,1809065.5699999998
178910,Joaquim Passarinho,1809065.5699999998
160548,Jonas Donizette,1809065.5699999998
205550,Jorge Braz,1809065.5699999998
214694,Jorge Goetten,1809065.5699999998
178857,Jorge Solla,1809065.5699999998
141464,José Airton Félix Cirilo,1809065.5699999998
141470,José Guimarães,1809065.5699999998
204472,José Medeiros,1809065.5699999998
204391,José Nelto,1809065.5699999998
74079,José Priante,1809065.5699999998
74554,José Rocha,1809065.5699999998
209189,Joseildo Ramos,1809065.5699999998
220578,Josenildo,1809065.5699999998
215043,Josivaldo JP,1809065.5699999998
204474,Juarez Costa,1809065.5699999998
220559,Julia Zanatta,1809065.5699999998
220640,Juliana Cardoso,1809065.5699999998
66385,Julio Arcoverde,1809065.5699999998
74317,Júlio Cesar,1809065.5699999998
204372,Julio Cesar Ribeiro,1809065.5699999998
74253,Julio Lopes,1809065.5699999998
204457,Juninho do Pneu,1809065.5699999998
204520,Junio Amaral,1809065.5699999998
204497,Júnior Ferrari,1809065.5699999998
204574,Junior Lourenço,1809065.5699999998
204550,Júnior Mano,1809065.5699999998
178886,Juscelino Filho,1809065.5699999998
220677,Keniston Braga,1809065.5699999998
162067,Kiko Celeguim,1809065.5699999998
204536,Kim Kataguiri,1809065.5699999998
98057,Lafayette de Andrada,1809065.5699999998
74856,Laura Carneiro,1809065.5699999998
220566,Lêda Borges,1809065.5699999998
231911,Lenir de Assis,1809065.5699999998
80815,Leo Prates,1809065.5699999998
74156,Leonardo Monteiro,1809065.5699999998
74299,Leônidas Cristino,1809065.5699999998
92102,Leur Lomanto Júnior,1809065.5699999998
139285,Lídice da Mata,1809065.5699999998
74585,Lincoln Portela,1809065.5699999998
74858,Lindbergh Farias,1809065.5699999998
220662,Lucas Ramos,1809065.5699999998
204404,Lucas Redecker,1809065.5699999998
138286,Luciano Alves,1809065.5699999998
220581,Luciano Amaral,1809065.5699999998
74478,Luciano Bivar,1809065.5699999998
178931,Luciano Ducci,1809065.5699999998
220616,Luciano Vieira,1809065.5699999998
178954,Lucio Mosquini,1809065.5699999998
