ideCadastro,txNomeParlamentar,sgPartido,sgUF,vlrLiquido
220704,Carol Dartora,PT,PR,552570.7900000003
210989,Bruno Farias,AVANTE,MG,552558.96
220682,Tadeu Veneri,PT,PR,552466.4899999999
218086,Ely Santos,REPUBLICANOS,SP,552322.6100000002
220668,Maria Arraes,SOLIDARIEDADE,PE,552277.88
220695,Rogéria Santos,REPUBLICANOS,BA,551462.0000000005
220607,Max Lemos,PDT,RJ,550950.8200000001
220707,Amanda Gentil,PP,MA,550666.45
204526,Luiz Philippe de Orleans e Bragança,PL,SP,550382.809999999
220694,Ricardo Maia,MDB,BA,550371.0099999999
204506,Marcos Pereira,REPUBLICANOS,SP,550051.6300000001
220640,Juliana Cardoso,PT,SP,549706.1899999997
223128,Rodrigo Estacho,PSD,PR,549519.9099999998
220697,Jadyel Alencar,REPUBLICANOS,PI,548417.41
220582,Daniel Barbosa,PP,AL,548338.9100000001
220586,Rafael Brito,MDB,AL,548281.8499999999
166402,Magda Mofatto,PRD,GO,547347.1200000001
204364,Eli Borges,PL,TO,547215.4
178927,Aliel Machado,PV,PR,546995.1499999999
220576,Alfredo Gaspar,UNIÃO,AL,546117.4900000002
178993,Carlos Henrique Gaguim,UNIÃO,TO,546110.46
204474,Juarez Costa,MDB,MT,545958.6000000003
160642,Pastor Eurico,PL,PE,545299.7100000003
220690,Capitão Alden,PL,BA,545256.7699999998
220648,Marangoni,UNIÃO,SP,545185.2600000001
204407,Fernanda Melchionna,PSOL,RS,544944.2700000007
220633,Ricardo Salles,NOVO,SP,544937.6200000006
160553,Antonio Brito,PSD,BA,544669.5399999996
220554,Alexandre Lindenmeyer,PT,RS,544611.8899999851
220530,Messias Donato,REPUBLICANOS,ES,543932.6300000001
204368,Fabio Schiochet,UNIÃO,SC,543293.08
204501,Alencar Santana,PT,SP,543292.79
74371,Rubens Otoni,PT,GO,543235.63
204379,Acácio Favacho,MDB,AP,542302.1699999999
178881,Aluisio Mendes,REPUBLICANOS,MA,542245.5199999999
204367,Daniel Freitas,PL,SC,542127.7200000001
204427,Fernando Rodolfo,PL,PE,542104.4499999997
74057,Alice Portugal,PCdoB,BA,541848.6099999999
98615,Ismael,PSD,SC,541805.1299999999
160556,Padre João,PT,MG,541322.6399999994
220683,Beto Richa,PSDB,PR,540640.8800000004
160548,Jonas Donizette,PSB,SP,540415.159999999
220691,Diego Coronel,PSD,BA,540193.5600000002
141456,Jilmar Tatto,PT,SP,539754.01
62881,Danilo Forte,UNIÃO,CE,539667.9299999999
220649,Delegado da Cunha,PP,SP,539625.0199999998
73778,Luiz Carlos Hauly,PODE,PR,538783.1000000001
160666,Félix Mendonça Júnior,PDT,BA,538513.65
220566,Lêda Borges,PSDB,GO,538449.83
220628,Mauricio do Vôlei,PL,MG,538136.3000000003
123086,Átila Lira,PP,PI,538010.6699999998
74299,Leônidas Cristino,PDT,CE,537796.6499999992
74537,Claudio Cajado,PP,BA,537742.5299999997
204480,Rogério Correia,PT,MG,537505.1299999997
160569,Waldenor Pereira,PT,BA,537389.8099999995
178986,Nilto Tatto,PT,SP,536431.1799999989
74317,Júlio Cesar,PSD,PI,535913.0800000001
160758,Domingos Sávio,PL,MG,535444.2299999995
220654,Delegado Paulo Bilynskyj,PL,SP,535344.2800000004
204355,Da Vitoria,PP,ES,534997.4899999998
178910,Joaquim Passarinho,PL,PA,534714.6499999996
160598,Flávia Morais,PDT,GO,532909.9100000001
162332,Luiz Nishimori,PSD,PR,532742.7299999999
204494,Fred Costa,PRD,MG,532506.5799999998
153423,Renilce Nicodemos,MDB,PA,532234.2699999998
220646,Felipe Becari,UNIÃO,SP,532231.0700000003
221148,Alfredinho,PT,SP,532119.05
204511,David Soares,UNIÃO,SP,532047.4099999999
198197,Greyce Elias,AVANTE,MG,531975.2499999998
220543,Ricardo Ayres,REPUBLICANOS,TO,531825.3900000002
220692,Dal Barreto,UNIÃO,BA,531433.5999999997
138286,Luciano Alves,PSD,PR,531293.8800000001
220670,Iza Arruda,MDB,PE,531168.99
107970,Ana Paula Leão,PP,MG,530663.5700000005
220615,Pastor Henrique Vieira,PSOL,RJ,530537.9400000004
204390,Professor Alcides,PL,GO,529991.64
74159,Odair Cunha,PT,MG,529793.9899999999
220572,Marussa Boldrin,MDB,GO,529685.1800000003
220604,Marcos Tavares,PDT,RJ,529471.6599999999
204560,Adolfo Viana,PSDB,BA,529350.8400000001
204504,Cezinha de Madureira,PSD,SP,529305.4900000001
141464,José Airton Félix Cirilo,PT,CE,529226.72
178857,Jorge Solla,PT,BA,528921.549999999
198783,Emanuel Pinheiro Neto,MDB,MT,528630.5100000007
220570,Dr. Ismael Alexandrino,PSD,GO,528119.2
178876,Célio Silveira,MDB,GO,528111.6900000002
220661,Matheus Noronha,PL,CE,528027.8199999998
204517,Zé Vitor,PL,MG,527987.3099999998
220701,Delegado Matheus Laiola,UNIÃO,PR,527324.9700000002
92776,Stefano Aguiar,PSD,MG,526873.5400000003
74160,Patrus Ananias,PT,MG,526783.4799999989
204422,Ossesio Silva,REPUBLICANOS,PE,526758.7799999998
178947,Sóstenes Cavalcante,PL,RJ,526737.73
74158,Mário Heringer,PDT,MG,526442.35
204489,Robério Monteiro,PDT,CE,526429.12
220632,Ana Pimentel,PT,MG,526180.1400000001
220626,Rafael Simoes,UNIÃO,MG,526025.1199999999
178858,Mário Negromonte Jr.,PP,BA,524955.0000000001
74856,Laura Carneiro,PSD,RJ,524299.6699999998
220550,Mauricio Marcon,PL,RS,524255.9799999998
179001,Márcio Biolchi,MDB,RS,523916.75
204574,Junior Lourenço,PL,MA,523913.1800000003
204535,Sâmia Bomfim,PSOL,SP,523880.30999999976
225730,Enfermeira Ana Paula,PODE,CE,523327.4300000001
141431,Fernando Coelho Filho,UNIÃO,PE,523302.48000000004
220617,Murillo Gouvea,UNIÃO,RJ,522263.7799999999
178931,Luciano Ducci,PSB,PR,521966.1899999996
150418,Márcio Marinho,REPUBLICANOS,BA,521782.8999999998
220652,Delegado Palumbo,MDB,SP,521638.29
204455,Luiz Lima,NOVO,RJ,521595.13000000024
160518,Weliton Prado,SOLIDARIEDADE,MG,521593.1699999996
220631,Samuel Viana,REPUBLICANOS,MG,520564.61999999976
141531,Rodrigo de Castro,UNIÃO,MG,520072.0999999997
74283,Vicentinho,PT,SP,519609.38000000024
74784,Luiza Erundina,PSOL,SP,519515.7099999999
74585,Lincoln Portela,PL,MG,519074.1600000001
178987,Orlando Silva,PCdoB,SP,518537.8400000001
204540,Maria Rosas,REPUBLICANOS,SP,518271.21000000014
220696,Ivoneide Caetano,PT,BA,517903.77000000014
179000,Marcelo Álvaro Antônio,PL,MG,517841.19000000047
220700,Florentino Neto,PT,PI,517736.6000000001
160588,Diego Andrade,PSD,MG,517218.91
204525,Rosana Valle,PL,SP,516715.85999999987
220651,Simone Marquetto,MDB,SP,516637.39000000025
178896,Newton Cardoso Jr,MDB,MG,516233.00000000006
205550,Jorge Braz,REPUBLICANOS,RJ,516206.93000000005
226179,Gisela Simona,UNIÃO,MT,516138.0500000005
220674,Dra. Alessandra Haber,MDB,PA,515546.02999999974
98057,Lafayette de Andrada,REPUBLICANOS,MG,515433.13
222429,Luis Carlos Gomes,REPUBLICANOS,RJ,514605.04999999993
74262,Carlos Sampaio,PSD,SP,514327.79999999946
160535,Marcon,PT,RS,513635.1499999987
220563,Icaro de Valmir,PL,SE,512977.96000000037
204572,Capitão Alberto Neto,PL,AM,512508.99
160601,Pr. Marco Feliciano,PL,SP,512274.74000000017
141450,Hugo Leal,PSD,RJ,511988.6199999999
220647,Mauricio Neves,PP,SP,511259.9500000001
220611,General Pazuello,PL,RJ,510883.13
220583,Delegado Fabio Costa,PP,AL,510803.4500000001
220598,Tarcísio Motta,PSOL,RJ,510082.18999999884
204411,Filipe Barros,PL,PR,510041.46999999986
220559,Julia Zanatta,PL,SC,509286.66
74253,Julio Lopes,PP,RJ,509052.14000000025
204457,Juninho do Pneu,UNIÃO,RJ,508193.76
220686,Duarte Jr.,PSB,MA,508077.9199999999
204398,Felipe Francischini,UNIÃO,PR,507598.1999999999
160640,Eros Biondini,PL,MG,507252.90000000014
204550,Júnior Mano,PSB,CE,506690.9100000001
74848,Jandira Feghali,PCdoB,RJ,506237.35000000003
141518,Paulinho da Força,SOLIDARIEDADE,SP,506109.70999999985
220629,Dandara,PT,MG,506032.1300000001
141391,Arnaldo Jardim,CIDADANIA,SP,505401.3999999994
175765,Ribamar Silva,PSD,SP,505229.3600000005
204412,Dr. Zacharias Calil,UNIÃO,GO,502430.18000000005
204491,Gilberto Abramo,REPUBLICANOS,MG,501740.6499999999
161550,Emidinho Madeira,PL,MG,501501.7800000002
204441,Otoni de Paula,MDB,RJ,501325.94
220635,Bruno Ganem,PODE,SP,500615.25999999995
204395,Pedro Lupion,REPUBLICANOS,PR,500189.3099999996
204391,José Nelto,UNIÃO,GO,498740.95000000007
